"","Sector","Year","Revenue","Quarter"
"1","Leather Goods and Saddlery ","2020",771.1,"Q1"
"2","Leather Goods and Saddlery ","2019",808.2,"Q1"
"3","Ready-to-Wear and Accessories ","2020",325.8,"Q1"
"4","Ready-to-Wear and Accessories ","2019",360.2,"Q1"
"5","Silk and Textiles","2020",115,"Q1"
"6","Silk and Textiles","2019",140.4,"Q1"
"7","Other Hermes sectors","2020",122.9,"Q1"
"8","Other Hermes sectors","2019",116.7,"Q1"
"9","Perfumes","2020",82.1,"Q1"
"10","Perfumes","2019",84.6,"Q1"
"11","Watches","2020",41,"Q1"
"12","Watches","2019",43.4,"Q1"
"13","Other products ","2020",47.7,"Q1"
"14","Other products ","2019",56.2,"Q1"
"15","Leather Goods and Saddlery ","2020",509,"Q2"
"16","Leather Goods and Saddlery ","2019",844.2,"Q2"
"17","Ready-to-Wear and Accessories ","2020",211.3,"Q2"
"18","Ready-to-Wear and Accessories ","2019",394.4,"Q2"
"19","Silk and Textiles","2020",50.2,"Q2"
"20","Silk and Textiles","2019",126.2,"Q2"
"21","Perfumes","2020",30.8,"Q2"
"22","Perfumes","2019",74.1,"Q2"
"23","Watches","2020",33.2,"Q2"
"24","Watches","2019",47.1,"Q2"
"25","Other products ","2020",31.6,"Q2"
"26","Other products ","2019",57.7,"Q2"
"27","Leather Goods and Saddlery ","2020",879.8,"Q3"
"28","Leather Goods and Saddlery ","2019",839.9,"Q3"
"29","Ready-to-Wear and Accessories ","2020",437.4,"Q3"
"30","Ready-to-Wear and Accessories ","2019",420.3,"Q3"
"31","Silk and Textiles","2020",105.8,"Q3"
"32","Silk and Textiles","2019",137,"Q3"
"33","Other Hermes sectors","2020",184.9,"Q3"
"34","Other Hermes sectors","2019",133.1,"Q3"
"35","Perfumes","2020",78.3,"Q3"
"36","Perfumes","2019",87.3,"Q3"
"37","Watches","2020",53.4,"Q3"
"38","Watches","2019",48.5,"Q3"
"39","Other products ","2020",60.7,"Q3"
"40","Other products ","2019",61.9,"Q3"
"41","Leather Goods and Saddlery ","2020",1049.3,"Q4"
"42","Leather Goods and Saddlery ","2019",922,"Q4"
"43","Ready-to-Wear and Accessories ","2020",434.5,"Q4"
"44","Ready-to-Wear and Accessories ","2019",399.4,"Q4"
"45","Silk and Textiles","2020",181,"Q4"
"46","Silk and Textiles","2019",189,"Q4"
"47","Other Hermes sectors","2020",218.5,"Q4"
"48","Other Hermes sectors","2019",144.3,"Q4"
"49","Perfumes","2020",72,"Q4"
"50","Perfumes","2019",79.9,"Q4"
"51","Watches","2020",68.2,"Q4"
"52","Watches","2019",54.4,"Q4"
"53","Other products ","2020",77.7,"Q4"
"54","Other products ","2019",82.4,"Q4"
