"","Revenue of Hermès worldwide 2010-2020, by geographical region","...2","...3","...4","...5"
"1","Revenue of Hermès worldwide from 2010 to 2020, by geographical region (in million euros)",NA,NA,NA,NA
"2",NA,"Asia-Pacific","Europe","Americas","Other"
"3","2010","1084","901","385","31"
"4","2011","1280","1055","464","43"
"5","2012","1645","1217","569","53"
"6","2013","1711","1350","627","66"
"7","2014","1889","1444","711","74"
"8","2015","2294","1590","884","73"
"9","2016","2502","1683","941","77"
"10","2017","2663","1799","996","92"
"11","2018","2891","1909","1059","108"
"12","2019","3454","2069","1241","120"
"13","2020","3749","1573","959","108"
