"","Category","2020","2019"
"1","Revenue","6,389","6,883"
"2","Growth at current exchange rates vs. n-1","-7.2 %","15.4 %"
"3","Growth at constant exchange rates vs. n-1 (1)","-6.0 %","12.4 %"
"4","Recurring operating income (2)","1,981","2,339"
"5","As a % of revenue","31.0 %","34.0 %"
"6","Operating income","2,073","2,339"
"7","As a % of revenue","32.4 %","34.0 %"
"8","Net profit – Group share","1,385","1,528"
"9","As a % of revenue","21.7 %","22.2 %"
"10","Operating cash flows","1,993","2,063"
"11","Investments (excluding financial investments)","448","478"
"12","Adjusted free cash flow (3)","995","1,406"
"13","Equity – Group share","7,380","6,568"
"14","Net cash position (4)","4,717","4,372"
"15","Restated net cash position (5)","4,904","4,562"
"16","Workforce (number of employees)","16,600","15,417"
