"","date","RMS.PA.Close"
"1","2020-01-02",671
"2","2020-01-03",675.400024
"3","2020-01-06",669.799988
"4","2020-01-07",678.200012
"5","2020-01-08",684.200012
"6","2020-01-09",687
"7","2020-01-10",689
"8","2020-01-13",689.599976
"9","2020-01-14",699.599976
"10","2020-01-15",708.599976
"11","2020-01-16",712
"12","2020-01-17",725.599976
"13","2020-01-20",717
"14","2020-01-21",709.200012
"15","2020-01-22",711.200012
"16","2020-01-23",704.200012
"17","2020-01-24",711
"18","2020-01-27",680.400024
"19","2020-01-28",686.599976
"20","2020-01-29",690
"21","2020-01-30",677.400024
"22","2020-01-31",676.599976
"23","2020-02-03",678.799988
"24","2020-02-04",692
"25","2020-02-05",700.200012
"26","2020-02-06",693
"27","2020-02-07",695.400024
"28","2020-02-10",696
"29","2020-02-11",696.400024
"30","2020-02-12",709.400024
"31","2020-02-13",711
"32","2020-02-14",705
"33","2020-02-17",709.400024
"34","2020-02-18",700
"35","2020-02-19",712.799988
"36","2020-02-20",699.799988
"37","2020-02-21",694.599976
"38","2020-02-24",670.400024
"39","2020-02-25",664.200012
"40","2020-02-26",666
"41","2020-02-27",641
"42","2020-02-28",630
"43","2020-03-02",634.799988
"44","2020-03-03",642.799988
"45","2020-03-04",653
"46","2020-03-05",646.599976
"47","2020-03-06",634
"48","2020-03-09",605.599976
"49","2020-03-10",595.799988
"50","2020-03-11",594.599976
"51","2020-03-12",560
"52","2020-03-13",572.799988
"53","2020-03-16",548.200012
"54","2020-03-17",558.599976
"55","2020-03-18",525
"56","2020-03-19",560
"57","2020-03-20",606.200012
"58","2020-03-23",603.400024
"59","2020-03-24",641.200012
"60","2020-03-25",656.200012
"61","2020-03-26",671.400024
"62","2020-03-27",645
"63","2020-03-30",639.799988
"64","2020-03-31",628.799988
"65","2020-04-01",592
"66","2020-04-02",598.599976
"67","2020-04-03",604.799988
"68","2020-04-06",604.799988
"69","2020-04-07",617.200012
"70","2020-04-08",636
"71","2020-04-09",641.799988
"72","2020-04-14",672.799988
"73","2020-04-15",675.599976
"74","2020-04-16",668.599976
"75","2020-04-17",684.799988
"76","2020-04-20",694.799988
"77","2020-04-21",669.200012
"78","2020-04-22",672.599976
"79","2020-04-23",701
"80","2020-04-24",674.400024
"81","2020-04-27",685.599976
"82","2020-04-28",676.799988
"83","2020-04-29",681.200012
"84","2020-04-30",667.799988
"85","2020-05-04",646.200012
"86","2020-05-05",665.799988
"87","2020-05-06",650
"88","2020-05-07",672.200012
"89","2020-05-08",679.799988
"90","2020-05-11",661.400024
"91","2020-05-12",670.400024
"92","2020-05-13",673.599976
"93","2020-05-14",667
"94","2020-05-15",665.200012
"95","2020-05-18",700
"96","2020-05-19",690
"97","2020-05-20",693.599976
"98","2020-05-21",691
"99","2020-05-22",697.799988
"100","2020-05-25",700.200012
"101","2020-05-26",710
"102","2020-05-27",712
"103","2020-05-28",746.599976
"104","2020-05-29",747.799988
"105","2020-06-01",746
"106","2020-06-02",754.599976
"107","2020-06-03",773.200012
"108","2020-06-04",774
"109","2020-06-05",786.200012
"110","2020-06-08",770
"111","2020-06-09",765
"112","2020-06-10",767
"113","2020-06-11",744.599976
"114","2020-06-12",738.400024
"115","2020-06-15",731.400024
"116","2020-06-16",746.400024
"117","2020-06-17",754.400024
"118","2020-06-18",749
"119","2020-06-19",739.200012
"120","2020-06-22",742.799988
"121","2020-06-23",751
"122","2020-06-24",726.799988
"123","2020-06-25",736
"124","2020-06-26",737.799988
"125","2020-06-29",741.400024
"126","2020-06-30",743.799988
"127","2020-07-01",739.400024
"128","2020-07-02",763.400024
"129","2020-07-03",750.599976
"130","2020-07-06",770.599976
"131","2020-07-07",766.599976
"132","2020-07-08",767.599976
"133","2020-07-09",766.400024
"134","2020-07-10",770
"135","2020-07-13",775
"136","2020-07-14",753.400024
"137","2020-07-15",763.400024
"138","2020-07-16",747
"139","2020-07-17",750.799988
"140","2020-07-20",759.200012
"141","2020-07-21",758.400024
"142","2020-07-22",749
"143","2020-07-23",752
"144","2020-07-24",741.599976
"145","2020-07-27",747.599976
"146","2020-07-28",731.200012
"147","2020-07-29",736
"148","2020-07-30",711
"149","2020-07-31",686.200012
"150","2020-08-03",690.599976
"151","2020-08-04",687.599976
"152","2020-08-05",692
"153","2020-08-06",686.400024
"154","2020-08-07",692.799988
"155","2020-08-10",683.400024
"156","2020-08-11",691.200012
