"","Country","number of stores","new"
"1","Germany","15",0
"2","Netherlands","3",0
"3","Poland","1",0
"4","United Kingdom","9",0
"5","Portugal","1",0
"6","Austria","2",0
"7","Principality of Monaco","1",0
"8","Belgium","3",0
"9","Greece","1",0
"10","Czech Republic","1",0
"11","Ireland","1",0
"12","Denmark","2",0
"13","Russia","3",1
"14","Italy","15",0
"15","Spain","5",1
"16","Sweden","1",1
"17","Switzerland","11",0
"18","France","29",0
"19","Luxembourg","1",0
"20","Norway","1",0
"21","Turkey","4",0
"22","Argentina","1",0
"23","Chile","1",0
"24","United States","36",2
"25","Brazil","3",0
"26","Canada","5",0
"27","Mexico","7",0
"28","Caribbean","1",0
"29","Panama","1",0
"30","Mainland China","28",2
"31","Hong Kong","7",1
"32","South Korea","18",1
"33","India","2",0
"34","Indonesia","2",0
"35","Japan","36",2
"36","Kazakhstan","1",0
"37","Taiwan","9",1
"38","Macao","4",0
"39","Malaysia","3",0
"40","Thailand","5",0
"41","Philippines","1",0
"42","Vietnam","2",0
"43","Singapore","6",0
"44","Bahrain","1",0
"45","Kuwait","1",1
"46","Qatar","2",0
"47","United Arab Emirates","5",1
"48","Lebanon","1",0
"49","Australia","6",0
"50","Guam","1",0
